,Name,Height (ft),Weight (lb),Age,Birth Date,Birth Location
0,Blake Wesley,"6' 3""",190,21,2003-03-16,"South Bend, Indiana"
1,Victor Wembanyama,"7' 3""",235,20,2004-01-04,"Le Chesnay, France"
2,Devin Vassell,"6' 5""",205,23,2000-08-23,"Lawrenceville, Georgia"
3,Jeremy Sochan,"6' 8""",230,21,2003-05-20,"Guymon, Oklahoma"
4,Chris Paul,"6' 0""",190,39,1985-05-06,"Winston-Salem, North Carolina"
5,Riley Minix,"6' 7""",230,24,2000-09-22,"Vero Beach, Florida"
6,Sandro Mamukelashvili,"6' 9""",235,25,1999-05-23,"New York, New York"
7,Tre Jones,"6' 1""",190,24,2000-01-08,"Apple Valley, Minnesota"
8,Keldon Johnson,"6' 5""",215,24,1999-10-11,"Chesterfield, Virginia"
9,Harrison Ingram,"6' 5""",235,21,2002-11-27,"Dallas, Texas"
10,Malachi Flynn,"6' 1""",185,26,1998-05-10,"Tacoma, Washington"
11,David Duke Jr.,"6' 4""",200,24,1999-10-13,"Providence, Rhode Island"
12,Zach Collins,"6' 11""",240,26,1997-11-19,"Las Vegas, Nevada"
13,Sidy Cissoko,"6' 6""",220,20,2004-04-02,"Saint-Maurice, France"
14,Julian Champagnie,"6' 8""",210,23,2001-06-29,"Staten Island, New York"
15,Stephon Castle,"6' 5""",210,19,2004-11-01,"Covington, Georgia"
16,Malaki Branham,"6' 5""",205,21,2003-05-12,"Columbus, Ohio"
17,Brandon Boston Jr.,"6' 6""",200,22,2001-11-28,"Norcross, Georgia"
18,Charles Bassey,"6' 10""",240,23,2000-10-28,"Lagos, Nigeria"
19,Harrison Barnes,"6' 8""",225,32,1992-05-30,"Ames, Iowa"
20,Zion Williamson,"6' 6""",285,23,2000-07-06,"Salisbury, North Carolina"
21,Daniel Theis,"6' 8""",245,32,1992-04-04,"Salzgitter, Germany"
22,Jeremiah Robinson-Earl,"6' 9""",234,23,2000-11-03,"Kansas City, Missouri"
23,Antonio Reeves,"6' 5""",189,23,2000-11-20,"Chicago, Illinois"
24,Dejounte Murray,"6' 5""",181,27,1996-09-19,"Seattle, Washington"
25,Trey Murphy III,"6' 8""",217,24,2000-06-18,"Durham, North Carolina"
26,Yves Missi,"6' 11""",236,20,2004-05-14,"Brussels, Belgium"
27,CJ McCollum,"6' 3""",202,32,1991-09-19,"Canton, Ohio"
28,Karlo Matkovic,"6' 11""",260,23,2001-03-30,"Livno, Bosnia and Herzegovina"
29,Herbert Jones,"6' 7""",212,25,1998-10-06,"Tuscaloosa, Alabama"
30,Trey Jemison,"6' 11""",275,24,1999-11-28,"Birmingham, Alabama"
31,Brandon Ingram,"6' 8""",210,26,1997-09-02,"Kinston, North Carolina"
32,Malcolm Hill,"6' 6""",225,28,1995-10-26,"St. Louis, Missouri"
33,Jordan Hawkins,"6' 5""",185,22,2002-04-29,"Gaithersburg, Maryland"
34,Javonte Green,"6' 4""",220,30,1993-07-23,"Petersburg, Virginia"
35,Jamal Cain,"6' 7""",207,25,1999-03-20,"Pontiac, Michigan"
36,Jose Alvarado,"6' 0""",182,26,1998-04-12,"Brooklyn, New York"
37,Vince Williams Jr.,"6' 6""",205,23,2000-08-30,"Toledo, Ohio"
38,Jaylen Wells,"6' 7""",206,20,2003-08-26,"Sacramento, California"
39,Cam Spencer,"6' 3""",201,24,2000-04-06,"Davidsonville, Maryland"
40,Marcus Smart,"6' 3""",220,30,1994-03-06,"Flower Mound, Texas"
41,Scotty Pippen Jr.,"6' 1""",170,23,2000-11-10,"Portland, Oregon"
42,Maozinha Pereira,"6' 8""",177,24,2000-08-28,"Rio de Janeiro, Brazil"
43,Miye Oni,"6' 5""",206,27,1997-08-04,"Los Angeles, California"
44,Miles Norris,"6' 7""",220,24,2000-04-15,"San Francisco, California"
45,Ja Morant,"6' 3""",175,24,1999-08-10,"Dalzell, South Carolina"
46,Jake LaRavia,"6' 7""",235,22,2001-11-03,"Pasadena, California"
47,John Konchar,"6' 5""",210,28,1996-03-22,"Chicago, Illinois"
48,Luke Kennard,"6' 5""",206,28,1996-06-24,"Middletown, Ohio"
49,Yuki Kawamura,"5' 8""",159,23,2001-05-02,"Yanai, Japan"
50,Jaren Jackson Jr.,"6' 11""",242,56,1967-10-27,"New Orleans, Louisiana"
51,GG Jackson II,"6' 9""",215,19,2004-12-17,"Columbia, South Carolina"
52,Jay Huff,"7' 1""",240,25,1998-08-25,"Durham, North Carolina"
53,Zach Edey,"7' 4""",299,22,2002-05-14,"Toronto, Canada"
54,Brandon Clarke,"6' 8""",210,27,1996-09-19,"Vancouver, British Columbia"
55,Desmond Bane,"6' 6""",215,26,1998-06-25,"Richmond, Indiana"
56,Armando Bacot,"6' 11""",240,24,2000-03-06,"Richmond, Virginia"
57,Santi Aldama,"6' 11""",224,23,2001-01-10,"Las Palmas, Spain"
58,Nate Williams,"6' 5""",205,74,1950-05-02,"Columbia, Louisiana"
59,Cam Whitmore,"6' 7""",235,19,2004-07-08,"Odenton, Maryland"
60,Fred VanVleet,"6' 0""",193,30,1994-02-25,"Rockford, Illinois"
61,Amen Thompson,"6' 7""",215,21,2003-01-30,"San Leandro, California"
62,Jae'Sean Tate,"6' 5""",226,28,1995-10-28,"Toledo, Ohio"
63,Jabari Smith Jr.,"6' 11""",213,47,1977-02-12,"Atlanta, Georgia"
64,Reed Sheppard,"6' 3""",182,20,2004-06-24,"London, Kentucky"
65,Alperen Sengun,"6' 11""",255,21,2002-07-25,"Giresun, Turkey"
66,Jermaine Samuels Jr.,"6' 7""",230,25,1998-11-13,"Franklin, Massachusetts"
67,Jack McVeigh,"6' 7""",205,28,1996-06-27,"Murwillumbah, Australia"
68,Jock Landale,"6' 11""",255,28,1995-10-25,"E Malvern, Australia"
69,Aaron Holiday,"6' 0""",185,27,1996-09-30,"Ruston, Louisiana"
70,Nate Hinton,"6' 5""",210,25,1999-06-08,"Gastonia, North Carolina"
71,Jeff Green,"6' 8""",235,37,1986-08-28,"Cheverly, Maryland"
72,Jalen Green,"6' 6""",183,22,2002-02-09,"Merced, California"
73,Tari Eason,"6' 8""",217,23,2001-05-10,"Portsmouth, Virginia"
74,Dillon Brooks,"6' 7""",220,28,1996-01-22,"Mississauga, Ontario"
75,Steven Adams,"6' 11""",265,30,1993-07-20,"Rotorua, New Zealand"
76,Brandon Williams,"6' 1""",190,24,1975-02-27,"Collinston, Louisiana"
77,P.J. Washington,"6' 7""",230,25,1998-08-23,"Louisville, Kentucky"
78,Klay Thompson,"6' 6""",220,34,1990-02-08,"Los Angeles, California"
79,Olivier-Maxence Prosper,"6' 8""",215,22,2002-07-03,"Montreal, Canada"
80,Dwight Powell,"6' 10""",240,32,1991-07-20,"Toronto, Ontario"
81,Markieff Morris,"6' 9""",245,34,1989-09-02,"Philadelphia, Pennsylvania"
82,Naji Marshall,"6' 7""",225,26,1998-01-24,"Atlantic City, New Jersey"
83,Dereck Lively II,"7' 1""",234,20,2004-02-12,"Philadelphia, Pennsylvania"
84,Maxi Kleber,"6' 10""",240,32,1992-01-29,"Wurzburg, Germany"
85,Kyrie Irving,"6' 2""",191,32,1992-03-23,"Melbourne, Australia"
86,Jaden Hardy,"6' 4""",198,21,2002-07-05,"Detroit, Michigan"
87,Quentin Grimes,"6' 5""",210,24,2000-05-08,"Houston, Texas"
88,Daniel Gafford,"6' 10""",234,25,1998-10-01,"El Dorado, Arkansas"
89,Dante Exum,"6' 5""",214,28,1995-07-13,"Melbourne, Australia"
90,Kessler Edwards,"6' 8""",215,23,2000-08-09,"Glendale, California"
91,Luka Doncic,"6' 7""",230,25,1999-02-28,"Ljubljana, Slovenia"
92,Spencer Dinwiddie,"6' 5""",215,31,1993-04-06,"Los Angeles, California"
93,Jaylen Brown,"6' 6""",220,27,1996-10-24,"Marietta, Georgia"
94,JD Davison,"6' 3""",195,21,2002-10-03,"Montgomery, Alabama"
95,Sam Hauser,"6' 8""",215,26,1997-12-08,"Green Bay, Wisconsin"
96,Jrue Holiday,"6' 5""",220,34,1990-06-12,"Chatsworth, California"
97,Al Horford,"6' 9""",240,38,1986-06-03,"Puerto Plata, Dominican Republic"
98,Luke Kornet,"7' 2""",250,28,1995-07-15,"Lantana, Texas"
100,Kristaps Porzingis,"7' 3""",240,28,1995-08-02,"Liepaja, Latvia"
101,Payton Pritchard,"6' 2""",190,26,1998-01-28,"Tualatin, Oregon"
102,Neemias Queta,"7' 0""",245,24,1999-07-13,"Lisbon, Portugal"
103,Baylor Scheierman,"6' 6""",203,23,2000-09-26,"Hastings, Nebraska"
104,Jaden Springer,"6' 4""",204,21,2002-09-25,"Charlotte, North Carolina"
105,Jayson Tatum,"6' 8""",210,26,1998-03-03,"St. Louis, Missouri"
106,Xavier Tillman,"6' 8""",245,25,1999-01-12,"Grand Rapids, Michigan"
107,Lonnie Walker IV,"6' 4""",205,25,1998-12-14,"Reading, Pennsylvania"
108,Jordan Walsh,"6' 7""",205,20,2004-03-03,"DeSoto, Texas"
109,Anton Watson,"6' 8""",235,23,2000-10-06,"Coeur d'Alene, Idaho"
110,Derrick White,"6' 4""",195,30,1994-07-02,"Parker, Colorado"
111,Amari Bailey,"6' 4""",189,20,2004-02-17,"New Orleans, Louisiana"
112,Bojan Bogdanovic,"6' 7""",230,35,1989-04-18,"Mostar, Bosnia and Herzegovina"
113,Nic Claxton,"6' 11""",226,25,1999-04-17,"Greenville, South Carolina"
114,Noah Clowney,"6' 9""",230,19,2004-07-14,"Spartanburg, South Carolina"
115,Yongxi Cui,"6' 6""",210,21,2003-05-28,"Yulin, China"
116,Dorian Finney-Smith,"6' 7""",225,31,1993-05-04,"Portsmouth, Virginia"
117,Killian Hayes,"6' 5""",210,23,2001-07-27,"Lakeland, Florida"
118,Cameron Johnson,"6' 8""",225,28,1996-03-03,"Moon Township, Pennsylvania"
119,Keon Johnson,"6' 4""",192,22,2002-03-10,"Shelbyville, Tennessee"
120,Jaylen Martin,"6' 5""",220,20,2004-01-28,"Quincy, Florida"
121,Tyrese Martin,"6' 6""",215,25,1999-03-07,"Allentown, Pennsylvania"
122,Shake Milton,"6' 5""",212,27,1996-09-26,"Owasso, Oklahoma"
123,Dennis Schroder,"6' 3""",178,30,1993-09-15,"Braunschweig, Germany"
124,Day'Ron Sharpe,"6' 9""",265,22,2001-11-06,"Greenville, North Carolina"
125,Ben Simmons,"6' 10""",240,27,1996-07-20,"Melbourne, Australia"
126,Cam Thomas,"6' 3""",215,22,2001-10-13,"Yokosuka, Japan"
127,Trendon Watford,"6' 9""",242,23,2000-11-09,"Birmingham, Alabama"
128,Dariq Whitehead,"6' 6""",224,19,2004-08-01,"Newark, New Jersey"
129,Ziaire Williams,"6' 9""",205,22,2001-09-12,"Lancaster, California"
130,Jalen Wilson,"6' 6""",230,23,2000-11-04,"Arlington, Texas"
131,Precious Achiuwa,"6' 8""",243,24,1999-09-19,"Port Harcourt, Nigeria"
132,OG Anunoby,"6' 7""",240,26,1997-07-17,"London, United Kingdom"
133,Mikal Bridges,"6' 6""",209,27,1996-08-30,"Philadelphia, Pennsylvania"
134,Moses Brown,"7' 2""",258,24,1999-10-13,"New York, New York"
135,Jalen Brunson,"6' 2""",190,27,1996-08-31,"New Brunswick, New Jersey"
136,Pacome Dadiet,"6' 7""",200,18,2005-07-27,"Aubagne, France"
137,Josh Hart,"6' 4""",215,29,1995-03-06,"Silver Spring, Maryland"
138,Ariel Hukporti,"6' 11""",246,22,2002-04-11,"Stralsund, Germany"
139,Tyler Kolek,"6' 1""",195,23,2001-03-27,"Providence, Rhode Island"
140,Miles McBride,"6' 1""",195,23,2000-09-08,"Cincinnati, Ohio"
141,Kevin McCullar Jr.,"6' 5""",206,23,2001-03-15,"San Antonio, Texas"
142,Chuma Okeke,"6' 7""",229,25,1998-08-18,"Atlanta, Georgia"
143,Cameron Payne,"6' 3""",183,29,1994-08-08,"Memphis, Tennessee"
144,Mitchell Robinson,"7' 0""",240,26,1998-04-01,"Pensacola, Florida"
145,Landry Shamet,"6' 4""",190,27,1997-03-13,"Kansas City, Missouri"
146,Jericho Sims,"6' 10""",250,25,1998-10-20,"Minneapolis, Minnesota"
147,Jacob Toppin,"6' 8""",200,24,2000-05-08,"Ossining, New York"
148,Karl-Anthony Towns,"7' 0""",248,28,1995-11-15,"Edison, New Jersey"
149,T.J. Warren,"6' 8""",220,30,1993-09-05,"Durham, North Carolina"
150,Adem Bona,"6' 10""",235,21,2003-03-28,"Lagos, Nigeria"
151,Ricky Council IV,"6' 6""",207,22,2001-08-03,"Durham, North Carolina"
152,Jeff Dowtin Jr.,"6' 3""",177,27,1997-05-10,"Upper Marlboro, Maryland"
153,Andre Drummond,"6' 11""",279,30,1993-08-10,"Mount Vernon, New York"
154,Justin Edwards,"6' 7""",203,20,2003-12-16,"Philadelphia, Pennsylvania"
155,Joel Embiid,"7' 0""",280,30,1994-03-16,"Yaounde, Cameroon"
156,Paul George,"6' 8""",220,34,1990-05-02,"Palmdale, California"
157,Eric Gordon,"6' 3""",215,35,1988-12-25,"Indianapolis, Indiana"
158,Reggie Jackson,"6' 2""",208,34,1990-04-16,"Pordenone, Italy"
159,Kyle Lowry,"6' 0""",196,38,1986-03-25,"Philadelphia, Pennsylvania"
160,Caleb Martin,"6' 5""",205,28,1995-09-28,"Winston-Salem, North Carolina"
161,KJ Martin,"6' 6""",215,23,2001-01-06,"Gardena, California"
162,Tyrese Maxey,"6' 2""",200,23,2000-11-04,"Dallas, Texas"
163,Jared McCain,"6' 3""",195,20,2004-02-20,"Sacramento, California"
164,Kelly Oubre Jr.,"6' 8""",203,28,1995-12-09,"New Orleans, Louisiana"
165,Lester Quinones,"6' 5""",208,23,2000-11-16,"Brentwood, New York"
166,Guerschon Yabusele,"6' 8""",265,28,1995-12-17,"Dreux, France"
167,Ochai Agbaji,"6' 5""",215,24,2000-04-20,"Milwaukee, Wisconsin"
168,Scottie Barnes,"6' 7""",237,22,2001-08-01,"West Palm Beach, Florida"
169,RJ Barrett,"6' 6""",214,24,2000-06-14,"Toronto, Ontario"
170,Jamison Battle,"6' 7""",220,23,2001-05-10,"Robbinsdale, Minnesota"
171,Chris Boucher,"6' 9""",200,31,1993-01-11,"Castries, Saint Lucia"
172,Bruce Brown,"6' 4""",202,27,1996-08-15,"Boston, Massachusetts"
173,Branden Carlson,"7' 0""",220,25,1999-06-14,"South Jordan, Utah"
174,D.J. Carton,"6' 3""",200,23,2000-08-05,"Pineville, North Carolina"
175,Ulrich Chomche,"6' 10""",232,18,2005-12-30,"Baham, Cameroon"
176,Gradey Dick,"6' 6""",200,20,2003-11-20,"Wichita, Kansas"
177,Bruno Fernando,"6' 9""",240,25,1998-08-15,"Luanda, Angola"
178,Davion Mitchell,"6' 0""",202,25,1998-09-05,"Hinesville, Georgia"
179,Jonathan Mogbo,"6' 6""",225,22,2001-10-29,"West Palm Beach, Florida"
180,Kelly Olynyk,"6' 11""",240,33,1991-04-19,"Toronto, Ontario"
181,Jakob Poeltl,"7' 0""",260,28,1995-10-15,"Vienna, Austria"
182,Immanuel Quickley,"6' 2""",190,25,1999-06-17,"Havre de Grace, Maryland"
183,Jahmi'us Ramsey,"6' 3""",190,23,2001-06-09,"Arlington, Texas"
184,Jared Rhoden,"6' 5""",210,24,1999-08-27,"Baldwin, New York"
185,Jamal Shead,"6' 0""",201,22,2002-06-24,"Austin, Texas"
186,Garrett Temple,"6' 5""",195,38,1986-05-08,"Baton Rouge, Louisiana"
187,Ja'Kobe Walter,"6' 4""",195,19,2004-09-04,"Dallas, Texas"
188,Lonzo Ball,"6' 6""",197,26,1997-10-27,"Anaheim, California"
189,Matas Buzelis,"6' 10""",209,19,2004-10-13,"Chicago, Illinois"
190,Jevon Carter,"6' 1""",200,28,1995-09-14,"Maywood, Illinois"
191,Torrey Craig,"6' 7""",221,33,1990-12-19,"Columbia, South Carolina"
192,Ayo Dosunmu,"6' 4""",200,24,2000-01-17,"Chicago, Illinois"
193,Chris Duarte,"6' 6""",190,27,1997-06-13,"Puerto Plata, Dominican Republic"
194,Josh Giddey,"6' 8""",210,21,2002-10-10,"Melbourne, Australia"
195,Talen Horton-Tucker,"6' 4""",233,23,2000-11-25,"Chicago, Illinois"
196,Zach LaVine,"6' 5""",205,29,1995-03-10,"Renton, Washington"
197,E.J. Liddell,"6' 7""",240,23,2000-12-18,"Belleville, Illinois"
198,Julian Phillips,"6' 8""",197,20,2003-11-05,"Killeen, Texas"
199,Adama Sanogo,"6' 9""",245,22,2002-02-12,"Bamako, Mali"
200,Jalen Smith,"6' 10""",235,24,2000-03-16,"Portsmouth, Virginia"
201,DJ Steward,"6' 2""",162,23,2001-10-02,"Chicago, Illinois"
202,Dalen Terry,"6' 7""",200,21,2002-07-12,"Tempe, Arizona"
203,Nikola Vucevic,"6' 10""",260,33,1990-10-24,"Morges, Switzerland"
204,Coby White,"6' 5""",206,24,2000-02-16,"Goldsboro, North Carolina"
205,Patrick Williams,"6' 7""",231,22,2001-08-26,"Charlotte, North Carolina"
206,Jarrett Allen,"6' 11""",248,26,1998-04-21,"San Diego, California"
207,Emoni Bates,"6' 9""",190,20,2004-01-28,"Ann Arbor, Michigan"
208,Jules Bernard,"6' 6""",205,24,2000-01-21,"Los Angeles, California"
209,Omar Cook,"6' 1""",190,42,1982-01-28,"Brooklyn, New York"
210,Darius Garland,"6' 1""",186,24,2000-01-26,"Gary, Indiana"
211,Ty Jerome,"6' 5""",200,26,1997-07-08,"New York, New York"
212,Caris LeVert,"6' 6""",205,29,1994-08-25,"Columbus, Ohio"
213,Sam Merrill,"6' 4""",205,28,1996-05-15,"Salt Lake City, Utah"
214,Donovan Mitchell,"6' 3""",215,27,1996-09-07,"Elmsford, New York"
215,Evan Mobley,"7' 0""",215,23,2001-06-18,"San Diego, California"
216,Pete Nance,"6' 11""",230,24,2000-02-19,"Akron, Ohio"
217,Georges Niang,"6' 7""",235,31,1993-06-17,"Lawrence, Massachusetts"
218,Isaac Okoro,"6' 5""",225,23,2001-01-26,"Atlanta, Georgia"
219,Craig Porter Jr.,"6' 2""",185,24,2000-02-26,"Terre Haute, Indiana"
220,Max Strus,"6' 5""",215,28,1996-03-28,"Hickory Hills, Illinois"
221,Tristan Thompson,"6' 9""",250,33,1991-03-13,"Toronto, Ontario"
222,JT Thor,"6' 9""",215,21,2002-08-26,"Omaha, Nebraska"
223,Luke Travers,"6' 7""",208,23,2001-09-03,"Perth, Australia"
224,Jaylon Tyson,"6' 6""",218,21,2002-12-02,"Allen, Texas"
225,Dean Wade,"6' 9""",219,27,1996-11-20,"Wichita, Kansas"
226,Malik Beasley,"6' 4""",187,27,1996-11-26,"Atlanta, Georgia"
227,Cade Cunningham,"6' 6""",217,22,2001-09-25,"Arlington, Texas"
228,Jalen Duren,"6' 10""",250,20,2003-11-18,"New Castle, Delaware"
229,Simone Fontecchio,"6' 7""",200,28,1995-12-09,"Pescara, Italy"
230,Tim Hardaway Jr.,"6' 5""",205,57,1966-09-01,"Chicago, Illinois"
231,Tobias Harris,"6' 9""",235,31,1992-07-15,"Islip, New York"
232,Ron Holland II,"6' 7""",197,18,2005-07-07,"Duncanville, Texas"
233,Jaden Ivey,"6' 4""",195,22,2002-02-13,"South Bend, Indiana"
234,Daniss Jenkins,"6' 4""",185,22,2001-08-17,"Dallas, Texas"
235,Bobi Klintman,"6' 9""",212,21,2003-03-06,"Malmo, Sweden"
236,Wendell Moore Jr.,"6' 5""",214,22,2001-09-18,"Richmond, Virginia"
237,Paul Reed,"6' 9""",210,25,1999-06-14,"Orlando, Florida"
238,Marcus Sasser,"6' 2""",195,23,2000-09-21,"Dallas, Texas"
239,Isaiah Stewart,"6' 9""",250,23,2001-05-22,"Rochester, New York"
240,Ausar Thompson,"6' 7""",215,21,2003-01-30,"San Leandro, California"
241,Enrique Freeman,"6' 7""",215,23,2000-07-29,"Cleveland, Ohio"
242,Johnny Furphy,"6' 9""",189,19,2004-12-08,"Melbourne, Australia"
243,Tyrese Haliburton,"6' 5""",190,24,2000-02-29,"Oshkosh, Wisconsin"
244,Isaiah Jackson,"6' 10""",225,22,2002-01-10,"Pontiac, Michigan"
245,Quenton Jackson,"6' 5""",175,25,1998-09-15,"Los Angeles, California"
246,James Johnson,"6' 7""",239,37,1987-02-20,"Cheyenne, Wyoming"
247,Bennedict Mathurin,"6' 6""",195,22,2002-06-19,"Montreal, Quebec"
248,T.J. McConnell,"6' 2""",190,32,1992-03-25,"Pittsburgh, Pennsylvania"
249,Andrew Nembhard,"6' 5""",193,24,2000-01-16,"Aurora, Ontario"
250,Aaron Nesmith,"6' 6""",215,24,1999-10-16,"Charleston, South Carolina"
251,Tristen Newton,"6' 5""",190,23,2001-04-26,"Pensacola, Florida"
252,Ben Sheppard,"6' 6""",200,22,2001-07-16,"Atlanta, Georgia"
253,Pascal Siakam,"6' 8""",230,30,1994-04-02,"Douala, Cameroon"
254,Obi Toppin,"6' 9""",210,26,1998-03-04,"Brooklyn, New York"
255,Myles Turner,"6' 11""",250,28,1996-03-24,"Bedford, Texas"
256,Jarace Walker,"6' 8""",235,20,2003-09-04,"New Freedom, Pennsylvania"
257,James Wiseman,"7' 0""",250,23,2001-03-31,"Nashville, Tennessee"
258,Giannis Antetokounmpo,"6' 11""",254,29,1994-12-06,"Athens, Greece"
259,MarJon Beauchamp,"6' 6""",203,23,2000-10-12,"Yakima, Washington"
260,Pat Connaughton,"6' 5""",216,31,1993-01-06,"Arlington, Massachusetts"
261,AJ Green,"6' 4""",209,24,1999-09-27,"Cedar Falls, Iowa"
262,Andre Jackson Jr.,"6' 7""",203,22,2001-11-13,"Amsterdam, New York"
263,AJ Johnson,"6' 5""",174,19,2004-12-01,"Fresno, California"
264,Damian Lillard,"6' 3""",206,33,1990-07-15,"Oakland, California"
265,Chris Livingston,"6' 6""",228,20,2003-10-15,"Akron, Ohio"
266,Brook Lopez,"7' 1""",276,36,1988-04-01,"North Hollywood, California"
267,Khris Middleton,"6' 7""",232,32,1991-08-12,"Charleston, South Carolina"
268,Anzejs Pasecniks,"7' 1""",240,28,1995-12-20,"Riga, Latvia"
269,Bobby Portis,"6' 10""",262,29,1995-02-10,"Little Rock, Arkansas"
270,Taurean Prince,"6' 6""",219,30,1994-03-22,"San Marcos, Texas"
271,Liam Robbins,"7' 0""",250,25,1999-07-12,"Davenport, Iowa"
272,Ryan Rollins,"6' 3""",190,22,2002-07-03,"Detroit, Michigan"
273,Gary Trent Jr.,"6' 4""",208,25,1974-09-22,"Columbus, Ohio"
275,Delon Wright,"6' 5""",185,32,1992-04-26,"Los Angeles, California"
276,Trey Alexander,"6' 3""",187,21,2003-05-02,"Oklahoma City, Oklahoma"
277,Christian Braun,"6' 6""",210,23,2001-04-17,"Burlington, Kansas"
278,Vlatko Cancar,"6' 8""",236,27,1997-04-10,"Koper, Slovenia"
279,Aaron Gordon,"6' 8""",235,28,1995-09-16,"San Jose, California"
280,PJ Hall,"6' 8""",240,22,2002-02-21,"Spartanburg, South Carolina"
281,DaRon Holmes II,"6' 9""",236,21,2002-08-15,"Overland Park, Kansas"
282,Nikola Jokic,"7' 0""",284,29,1995-02-19,"Sombor, Serbia"
283,Spencer Jones,"6' 7""",225,23,2001-06-14,"Shawnee Mission, Kansas"
284,DeAndre Jordan,"6' 11""",265,35,1988-07-21,"Houston, Texas"
285,Jamal Murray,"6' 4""",215,27,1997-02-23,"Kitchener, Ontario"
286,Zeke Nnaji,"6' 11""",240,23,2001-01-09,"Hopkins, Minnesota"
287,Jalen Pickett,"6' 4""",202,24,1999-10-22,"Rochester, New York"
288,Michael Porter Jr.,"6' 10""",218,26,1998-06-29,"Indianapolis, Indiana"
289,Dario Saric,"6' 10""",225,30,1994-04-08,"Sibenik, Croatia"
290,Julian Strawther,"6' 7""",205,22,2002-04-18,"Las Vegas, Nevada"
291,Hunter Tyson,"6' 8""",215,24,2000-06-13,"Monroe, North Carolina"
292,Peyton Watson,"6' 8""",200,21,2002-09-11,"Beverly Hills, California"
293,Russell Westbrook,"6' 4""",200,35,1988-11-12,"Long Beach, California"
294,Nickeil Alexander-Walker,"6' 5""",193,25,1998-09-02,"Toronto, Ontario"
295,Keita Bates-Diop,"6' 8""",229,28,1996-01-23,"Bloomington, Illinois"
296,Jaylen Clark,"6' 4""",203,22,2001-10-13,"Riverside, California"
297,Mike Conley,"6' 1""",178,36,1987-10-11,"Fayetteville, Arkansas"
298,Donte DiVincenzo,"6' 5""",205,27,1997-01-31,"Newark, Delaware"
299,Rob Dillingham,"6' 1""",165,19,2005-01-04,"Hickory, North Carolina"
300,PJ Dozier,"6' 6""",205,27,1996-10-25,"Columbia, South Carolina"
301,Anthony Edwards,"6' 4""",225,22,2001-08-05,"Atlanta, Georgia"
302,Jesse Edwards,"7' 0""",233,24,2000-03-18,"Amsterdam, Netherlands"
303,Luka Garza,"6' 10""",233,25,1998-12-27,"Washington, District of Columbia"
