,Name,Height (ft),Weight (lb),Age,Birth Date,Birth Location
304,Rudy Gobert,"7' 1""",257,32,1992-06-26,"Saint-Quentin, France"
305,Joe Ingles,"6' 9""",235,36,1987-10-02,"Adelaide, Australia"
306,Jaden McDaniels,"6' 9""",201,23,2000-09-29,"Federal Way, Washington"
307,Leonard Miller,"6' 10""",214,20,2003-11-26,"Scarborough, Canada"
308,Josh Minott,"6' 8""",202,21,2002-11-25,"Boca Raton, Florida"
310,Julius Randle,"6' 9""",253,29,1994-11-29,"Dallas, Texas"
311,Naz Reid,"6' 9""",240,24,1999-08-26,"Asbury Park, New Jersey"
312,Terrence Shannon Jr.,"6' 6""",215,23,2000-07-30,"Chicago , Illinois"
313,Alex Caruso,"6' 5""",186,30,1994-02-28,"College Station, Texas"
314,Ousmane Dieng,"6' 10""",222,21,2003-05-21,"Villeneuve-sur-Lot, France"
315,Luguentz Dort,"6' 4""",220,25,1999-04-19,"Montreal, Quebec"
316,Alex Ducas,"6' 7""",220,23,2000-12-11,"Geraldton, Australia"
317,Adam Flagler,"6' 3""",195,24,1999-12-01,"Duluth, Georgia"
318,Shai Gilgeous-Alexander,"6' 6""",200,25,1998-07-12,"Toronto, Ontario"
319,Isaiah Hartenstein,"7' 0""",255,26,1998-05-05,"Eugene, Oregon"
320,Chet Holmgren,"7' 1""",213,22,2002-05-01,"Minneapolis, Minnesota"
321,Isaiah Joe,"6' 3""",181,25,1999-07-02,"Fort Smith, Arkansas"
322,Dillon Jones,"6' 5""",240,22,2001-10-29,"Columbia, South Carolina"
323,Malevy Leons,"6' 9""",205,25,1999-09-23,"IJmuiden, Netherlands"
324,Ajay Mitchell,"6' 3""",190,22,2002-06-25,"Namur, Belgium"
325,Nikola Topic,"6' 6""",201,18,2005-08-10,"Novi Sad, Serbia"
326,Cason Wallace,"6' 4""",205,20,2003-11-07,"Dallas, Texas"
327,Aaron Wiggins,"6' 6""",200,25,1999-01-02,"Greensboro, North Carolina"
328,Jalen Williams,"6' 6""",220,23,2001-04-14,"Denver, Colorado"
329,Jaylin Williams,"6' 10""",250,22,2002-06-29,"Fort Smith, Arkansas"
330,Kenrich Williams,"6' 7""",210,29,1994-12-02,"Waco, Texas"
331,Deni Avdija,"6' 9""",240,23,2001-01-03,"Beit Zera, Israel"
332,Deandre Ayton,"6' 11""",250,25,1998-07-23,"Nassau, Bahamas"
333,Dalano Banton,"6' 9""",204,24,1999-11-07,"Toronto, Ontario"
334,Toumani Camara,"6' 8""",220,24,2000-05-08,"Brussels, Belgium"
335,Donovan Clingan,"7' 2""",280,20,2004-02-23,"Bristol, Connecticut"
336,Jerami Grant,"6' 8""",210,30,1994-03-12,"Portland, Oregon"
337,Scoot Henderson,"6' 3""",196,20,2004-02-03,"Marietta, Georgia"
338,Bryce McGowens,"6' 5""",190,21,2002-11-08,"Pendleton, South Carolina"
339,Justin Minaya,"6' 7""",210,25,1999-03-26,"Harrington Park, New Jersey"
340,Kris Murray,"6' 8""",215,23,2000-08-19,"Cedar Rapids, Iowa"
341,Duop Reath,"6' 11""",245,28,1996-06-26,"Waat, South Sudan"
342,Rayan Rupert,"6' 7""",195,20,2004-05-31,"Strasbourg, France"
343,Shaedon Sharpe,"6' 6""",200,21,2003-05-30,"London, Ontario"
344,Anfernee Simons,"6' 3""",195,25,1999-06-08,"Longwood, Florida"
345,Matisse Thybulle,"6' 5""",201,27,1997-03-04,"Scottsdale, Arizona"
346,Jabari Walker,"6' 9""",215,21,2002-07-30,"Wichita, Kansas"
347,Robert Williams III,"6' 9""",237,26,1997-10-17,"Shreveport, Louisiana"
348,Jordan Clarkson,"6' 5""",194,32,1992-06-07,"Tampa, Florida"
349,Isaiah Collier,"6' 5""",210,19,2004-10-08,"Atlanta, Georgia"
350,John Collins,"6' 9""",234,26,1997-09-23,"Layton, Utah"
351,Drew Eubanks,"6' 9""",245,27,1997-02-01,"Starkville, Mississippi"
352,Kyle Filipowski,"6' 11""",248,20,2003-11-07,"Middletown, New York"
353,Keyonte George,"6' 4""",185,20,2003-11-08,"Lewisville, Texas"
354,Taylor Hendricks,"6' 9""",210,20,2003-11-22,"Fort Lauderdale, Florida"
355,Johnny Juzang,"6' 7""",215,23,2001-03-17,"Los Angeles, California"
356,Walker Kessler,"7' 1""",245,22,2001-07-26,"Atlanta, Georgia"
357,Lauri Markkanen,"7' 0""",238,27,1997-05-22,"Vantaa, Finland"
358,Patty Mills,"6' 2""",180,35,1988-08-11,"Canberra, Australia"
359,Svi Mykhailiuk,"6' 7""",205,27,1997-06-10,"Cherkasy, Ukraine"
360,Micah Potter,"6' 10""",248,26,1998-04-06,"Mentor, Ohio"
361,Jason Preston,"6' 4""",187,24,1999-08-10,"Orlando, Florida"
362,Brice Sensabaugh,"6' 6""",235,20,2003-10-30,"Orlando, Florida"
363,Collin Sexton,"6' 1""",192,25,1999-01-04,"Marietta, Georgia"
364,Oscar Tshiebwe,"6' 9""",260,24,1999-11-27,"Lubumbashi, Democratic Republic of the Congo"
365,Cody Williams,"6' 8""",190,19,2004-11-20,"San Luis Obispo, California"
366,Kyle Anderson,"6' 9""",245,30,1993-09-20,"New York, New York"
367,Reece Beekman,"6' 1""",196,22,2001-10-08,"Milwaukee, Wisconsin"
368,Stephen Curry,"6' 3""",200,36,1988-03-14,"Akron, Ohio"
369,Draymond Green,"6' 6""",235,34,1990-03-04,"Saginaw, Michigan"
370,Buddy Hield,"6' 4""",220,31,1992-12-17,"Freeport, Bahamas"
371,Blake Hinson,"6' 7""",235,24,1999-12-26,"Deltona, Florida"
372,Trayce Jackson-Davis,"6' 8""",245,24,2000-02-22,"Greenwood, Indiana"
373,Jonathan Kuminga,"6' 7""",225,21,2002-10-06,"Goma, Democratic Republic of the Congo"
374,Kevon Looney,"6' 9""",257,28,1996-02-06,"Milwaukee, Wisconsin"
375,De'Anthony Melton,"6' 3""",200,26,1998-05-28,"North Hollywood, California"
376,Moses Moody,"6' 5""",215,22,2002-05-31,"Little Rock, Arkansas"
377,Gary Payton II,"6' 3""",195,55,1968-07-23,"Oakland, California"
378,Brandin Podziemski,"6' 4""",203,21,2003-02-25,"Greenfield, Wisconsin"
379,Quinten Post,"7' 0""",244,24,2000-03-21,"Amsterdam, Netherlands"
380,Jackson Rowe,"6' 7""",210,27,1997-01-04,"Toronto, Canada"
381,Gui Santos,"6' 7""",218,22,2002-06-22,"Brasilia, Brazil"
382,Pat Spencer,"6' 3""",205,27,1996-07-04,"Davidsonville, Maryland"
383,Lindy Waters III,"6' 6""",198,26,1997-07-28,"Norman, Oklahoma"
384,Andrew Wiggins,"6' 7""",209,29,1995-02-23,"Toronto, Ontario"
385,Mo Bamba,"7' 0""",231,26,1998-05-12,"Harlem, New York"
386,Nicolas Batum,"6' 8""",230,35,1988-12-14,"Lisieux, France"
387,Kobe Brown,"6' 7""",250,24,2000-01-01,"Huntsville, Alabama"
388,Cam Christie,"6' 5""",190,18,2005-07-24,"Arlington Heights, Illinois"
389,Amir Coffey,"6' 7""",210,27,1997-06-17,"Hopkins, Minnesota"
390,Nate Darling,"6' 5""",200,26,1998-08-30,"Halifax, Nova Scotia"
391,Kris Dunn,"6' 3""",205,30,1994-03-18,"New London, Connecticut"
392,Trentyn Flowers,"6' 7""",201,19,2005-03-08,"Towson, Maryland"
393,James Harden,"6' 5""",220,34,1989-08-26,"Los Angeles, California"
394,Bones Hyland,"6' 2""",169,23,2000-09-14,"Wilmington, Delaware"
395,Kai Jones,"6' 11""",221,23,2001-01-19,"Nassau, Bahamas"
396,Derrick Jones Jr.,"6' 6""",210,27,1997-02-15,"Chester, Pennsylvania"
397,Braxton Key,"6' 8""",225,27,1997-02-14,"Charlotte, North Carolina"
398,Kawhi Leonard,"6' 7""",225,33,1991-06-29,"Los Angeles, California"
399,Terance Mann,"6' 5""",215,27,1996-10-18,"Brooklyn, New York"
400,Jordan Miller,"6' 5""",194,24,2000-01-23,"Anaheim, California"
401,Kevin Porter Jr.,"6' 4""",203,74,1950-04-17,"Chicago, Illinois"
402,Norman Powell,"6' 4""",215,31,1993-05-25,"San Diego, California"
403,P.J. Tucker,"6' 5""",245,39,1985-05-05,"Raleigh, North Carolina"
405,Ivica Zubac,"7' 0""",240,27,1997-03-18,"Mostar, Bosnia and Herzegovina"
406,Colin Castleton,"6' 10""",250,24,2000-05-25,"Pembroke Pines, Florida"
407,Max Christie,"6' 5""",190,21,2003-02-10,"Arlington Heights, Illinois"
408,Anthony Davis,"6' 10""",253,31,1993-03-11,"Chicago, Illinois"
409,Rui Hachimura,"6' 8""",230,26,1998-02-08,"Toyama, Japan"
410,Jaxson Hayes,"7' 0""",220,24,2000-05-23,"Norman, Oklahoma"
411,Jalen Hood-Schifino,"6' 5""",215,21,2003-06-19,"Pittsburgh, Pennsylvania"
412,Bronny James,"6' 2""",210,19,2004-10-06,"Akron, Ohio"
413,LeBron James,"6' 9""",250,39,1984-12-30,"Akron, Ohio"
414,Dalton Knecht,"6' 5""",204,23,2001-04-19,"Fargo, North Dakota"
415,Christian Koloko,"7' 0""",230,24,2000-06-20,"Douala, Cameroon"
416,Maxwell Lewis,"6' 7""",195,21,2002-07-27,"Las Vegas, Nevada"
417,Quincy Olivari,"6' 3""",200,23,2001-05-27,"Atlanta, Georgia"
418,Austin Reaves,"6' 5""",197,26,1998-05-29,"Newark, Arkansas"
419,Cam Reddish,"6' 7""",217,24,1999-09-01,"Norristown, Pennsylvania"
420,D'Angelo Russell,"6' 3""",193,28,1996-02-23,"Louisville, Kentucky"
421,Jarred Vanderbilt,"6' 8""",214,25,1999-04-03,"Houston, Texas"
422,Gabe Vincent,"6' 2""",200,28,1996-06-14,"Modesto, California"
423,Christian Wood,"6' 8""",214,28,1995-09-27,"Long Beach, California"
424,Grayson Allen,"6' 4""",198,28,1995-10-08,"Jacksonville, Florida"
425,Bradley Beal,"6' 4""",207,31,1993-06-28,"St. Louis, Missouri"
426,Bol Bol,"7' 3""",220,24,1999-11-16,"Khartoum, Sudan"
427,Devin Booker,"6' 6""",206,27,1996-10-30,"Grand Rapids, Michigan"
428,Jalen Bridges,"6' 9""",225,23,2001-05-14,"Fairmont, West Virginia"
429,Ryan Dunn,"6' 6""",216,21,2003-01-07,"New Hyde Park, New York"
430,Kevin Durant,"6' 11""",240,35,1988-09-29,"Washington, District of Columbia"
431,Collin Gillespie,"6' 1""",195,25,1999-06-25,"Huntingdon Valley, Pennsylvania"
432,Oso Ighodaro,"6' 10""",222,22,2002-07-02,"Mesa, Arizona"
433,Tyus Jones,"6' 1""",196,28,1996-05-10,"Burnsville, Minnesota"
434,Frank Kaminsky,"7' 0""",240,31,1993-04-04,"Lisle, Illinois"
435,Damion Lee,"6' 6""",210,31,1992-10-21,"Baltimore, Maryland"
436,Monte Morris,"6' 2""",183,29,1995-06-27,"Grand Rapids, Michigan"
437,Jusuf Nurkic,"7' 0""",290,29,1994-08-23,"Tuzla, Bosnia and Herzegovina"
438,Royce O'Neale,"6' 6""",226,31,1993-06-05,"Killeen, Texas"
439,Josh Okogie,"6' 4""",213,25,1998-09-01,"Lagos, Nigeria"
440,Mason Plumlee,"6' 10""",254,34,1990-03-05,"Fort Wayne, Indiana"
442,Devin Carter,"6' 2""",188,22,2002-03-18,"West Palm Beach, Florida"
443,Isaiah Crawford,"6' 6""",220,22,2001-11-01,"Fort Worth, Texas"
444,Antoine Davis,"6' 2""",175,26,1998-10-03,"Bloomington, Indiana"
445,DeMar DeRozan,"6' 6""",220,34,1989-08-07,"Compton, California"
446,Keon Ellis,"6' 5""",175,24,2000-01-08,"Eustis, Florida"
447,De'Aaron Fox,"6' 3""",190,26,1997-12-20,"New Orleans, Louisiana"
448,Kevin Huerter,"6' 7""",190,25,1998-08-27,"Albany, New York"
449,Colby Jones,"6' 6""",205,22,2002-05-28,"Birmingham, Alabama"
450,Isaac Jones,"6' 9""",245,24,2000-07-11,"Spanaway, Washington"
451,Mason Jones,"6' 4""",190,25,1998-07-21,"Dallas, Texas"
452,Alex Len,"7' 0""",250,31,1993-06-16,"Antratsit, Ukraine"
453,Trey Lyles,"6' 9""",234,28,1995-11-05,"Saskatoon, Saskatchewan"
454,Doug McDermott,"6' 6""",225,32,1992-01-03,"Grand Forks, North Dakota"
455,Jordan McLaughlin,"6' 0""",185,28,1996-04-09,"Etiwanda, California"
456,Malik Monk,"6' 3""",200,26,1998-02-04,"Jonesboro, Arkansas"
457,Keegan Murray,"6' 8""",215,23,2000-08-19,"Cedar Rapids, Iowa"
458,Shareef O'Neal,"6' 10""",225,24,2000-01-11,"Los Angeles, California"
459,Orlando Robinson,"6' 10""",235,23,2000-07-10,"Las Vegas, Nevada"
460,Domantas Sabonis,"6' 11""",240,28,1996-05-03,"Portland, Oregon"
461,Drew Timme,"6' 10""",235,24,2000-09-09,"Richardson, Texas"
462,Dominick Barlow,"6' 10""",220,21,2003-05-26,"Hackensack, New Jersey"
463,Bogdan Bogdanovic,"6' 6""",220,31,1992-08-18,"Belgrade, Serbia"
464,Kobe Bufkin,"6' 4""",195,20,2003-09-21,"Grand Rapids, Michigan"
465,Clint Capela,"6' 10""",240,30,1994-05-18,"Geneva, Switzerland"
466,Dyson Daniels,"6' 7""",203,21,2003-03-17,"Bendigo, Australia"
467,Mouhamed Gueye,"6' 11""",210,21,2002-11-09,"Dakar, Senegal"
468,De'Andre Hunter,"6' 7""",225,26,1997-12-02,"Philadelphia, Pennsylvania"
469,Jalen Johnson,"6' 9""",220,22,2001-12-18,"Wausau, Wisconsin"
470,Vit Krejci,"6' 8""",195,24,2000-06-19,"Strakonice, Czechia"
472,Garrison Mathews,"6' 5""",202,27,1996-10-24,"Franklin, Tennessee"
473,Larry Nance Jr.,"6' 8""",242,65,1959-02-12,"Anderson, South Carolina"
474,Onyeka Okongwu,"6' 9""",45,23,2000-12-11,"Los Angeles, California"
475,Zaccharie Risacher,"6' 9""",215,19,2005-04-08,"Malaga, Spain"
476,David Roddy,"6' 5""",255,23,2001-03-27,"Minneapolis, Minnesota"
477,Keaton Wallace,"6' 3""",185,25,1999-02-26,"Richardson, Texas"
478,Trae Young,"6' 1""",180,25,1998-09-19,"Lubbock, Texas"
479,Cody Zeller,"6' 11""",247,31,1992-10-05,"Washington, Indiana"
480,LaMelo Ball,"6' 7""",190,22,2001-08-22,"Anaheim, California"
481,Miles Bridges,"6' 6""",235,26,1998-03-21,"Flint, Michigan"
482,Seth Curry,"6' 1""",190,33,1990-08-23,"Charlotte, North Carolina"
483,Moussa Diabate,"6' 9""",210,22,2002-01-21,"Paris, France"
484,Taj Gibson,"6' 9""",232,39,1985-06-24,"Brooklyn, New York"
485,Josh Green,"6' 5""",200,23,2000-11-16,"Sydney, Australia"
486,DaQuan Jeffries,"6' 5""",222,27,1997-08-30,"Edmond, Oklahoma"
487,Tre Mann,"6' 4""",190,23,2001-02-03,"Gainesville, Florida"
488,Cody Martin,"6' 6""",205,28,1995-09-28,"Winston-Salem, North Carolina"
489,Vasilije Micic,"6' 5""",205,30,1994-01-13,"Kraljevo, Serbia"
490,Brandon Miller,"6' 8""",205,21,2002-11-22,"Antioch, Tennessee"
491,Nick Richards,"7' 0""",260,26,1997-11-29,"Kingston, Jamaica"
492,Tidjane Salaun,"6' 9""",205,18,2005-08-10,"Paris, France"
493,K.J. Simpson,"6' 2""",190,22,2002-08-08,"Panorama City, California"
494,Nick Smith Jr.,"6' 3""",185,20,2004-04-18,"Jacksonville, Arkansas"
495,Duane Washington Jr.,"6' 2""",197,24,1964-08-31,"Eschwege, Germany"
496,Grant Williams,"6' 6""",235,25,1998-11-30,"Houston, Texas"
497,Mark Williams,"7' 0""",260,22,2001-12-16,"Norfolk, Virginia"
498,Bam Adebayo,"6' 9""",255,26,1997-07-18,"Newark, New Jersey"
499,Thomas Bryant,"6' 10""",248,26,1997-07-31,"Rochester, New York"
500,Alec Burks,"6' 5""",214,32,1991-07-20,"Grandview, Missouri"
501,Jimmy Butler,"6' 7""",230,34,1989-09-14,"Houston, Texas"
502,Josh Christopher,"6' 4""",215,22,2001-12-08,"Carson, California"
503,Tyler Herro,"6' 5""",195,24,2000-01-20,"Milwaukee, Wisconsin"
504,Haywood Highsmith,"6' 5""",220,27,1996-12-09,"Baltimore, Maryland"
505,Jaime Jaquez Jr.,"6' 6""",225,23,2001-02-18,"Irvine, California"
506,Keshad Johnson,"6' 6""",225,23,2001-06-23,"Oakland, California"
507,Nikola Jovic,"6' 10""",205,21,2003-06-09,"Leicester, United Kingdom"
508,Pelle Larsson,"6' 6""",215,23,2001-02-23,"Stockholm, Sweden"
509,Nassir Little,"6' 6""",220,24,2000-02-11,"Pensacola, Florida"
510,Kevin Love,"6' 8""",251,35,1988-09-07,"Santa Monica, California"
511,Zyon Pullin,"6' 4""",205,23,2001-03-03,"Pleasant Hill, California"
512,Josh Richardson,"6' 5""",200,30,1993-09-15,"Edmond, Oklahoma"
513,Duncan Robinson,"6' 7""",215,30,1994-04-22,"York, Maine"
514,Terry Rozier,"6' 1""",190,30,1994-03-17,"Youngstown, Ohio"
515,Dru Smith,"6' 2""",203,26,1997-12-30,"Evansville, Indiana"
516,Isaiah Stevens,"6' 0""",185,23,2000-11-01,"Allen, Texas"
517,Kel'el Ware,"7' 0""",240,20,2004-04-20,"North Little Rock, Arkansas"
518,Warren Washington,"7' 0""",225,24,2000-03-03,"Phoenix, Arizona"
519,Cole Anthony,"6' 3""",198,24,2000-05-15,"Portland, Oregon"
520,Paolo Banchero,"6' 10""",250,21,2002-11-12,"Seattle, Washington"
521,Goga Bitadze,"6' 11""",235,24,1999-07-20,"Sagarejo, Georgia"
522,Anthony Black,"6' 7""",212,20,2004-01-20,"Duncanville, Texas"
523,Kentavious Caldwell-Pope,"6' 5""",204,31,1993-02-18,"Thomaston, Georgia"
524,Wendell Carter Jr.,"6' 10""",262,25,1999-04-16,"Atlanta, Georgia"
525,Jarrett Culver,"6' 6""",195,25,1999-02-20,"Dallas, Texas"
526,Tristan da Silva,"6' 8""",217,23,2001-05-15,"Munich, Germany"
527,Gary Harris,"6' 4""",205,29,1994-09-14,"Fishers, Indiana"
528,Caleb Houstan,"6' 8""",235,21,2003-01-09,"Mississauga, Ontario"
529,Jett Howard,"6' 8""",215,20,2003-09-14,"Chicago, Illinois"
530,Jonathan Isaac,"6' 10""",240,26,1997-10-03,"The Bronx, New York"
531,Cory Joseph,"6' 3""",200,33,1991-08-20,"Toronto, Ontario"
532,Mac McClung,"6' 2""",185,25,1999-01-06,"Gate City, Virginia"
533,Alex Morales,"6' 6""",180,26,1997-11-21,"Paterson, New Jersey"
534,Trevelin Queen,"6' 6""",190,27,1997-02-25,"Baltimore, Maryland"
535,Jalen Slawson,"6' 7""",215,24,1999-10-22,"Summerville, South Carolina"
536,Jalen Suggs,"6' 5""",205,23,2001-06-03,"St. Paul, Minnesota"
537,Ethan Thompson,"6' 5""",195,25,1999-05-04,"Harbor City, California"
538,Franz Wagner,"6' 10""",230,22,2001-08-27,"Berlin, Germany"
539,Moritz Wagner,"6' 11""",250,27,1997-04-26,"Berlin, Germany"
540,Marvin Bagley III,"6' 11""",235,25,1999-03-14,"Tempe, Arizona"
541,Patrick Baldwin Jr.,"6' 9""",220,21,2002-11-18,"Green Bay, Wisconsin"
542,Saddiq Bey,"6' 8""",215,25,1999-04-09,"Charlotte, North Carolina"
543,Malcolm Brogdon,"6' 5""",228,31,1992-12-11,"Atlanta, Georgia"
544,Jared Butler,"6' 3""",193,23,2000-08-25,"Reserve, Louisiana"
545,John Butler Jr.,"7' 0""",175,21,2002-12-04,"Greenville, South Carolina"
546,Bub Carrington,"6' 4""",195,18,2005-07-21,"Baltimore, Maryland"
547,Justin Champagnie,"6' 6""",206,23,2001-06-29,"Brooklyn, New York"
548,Bilal Coulibaly,"6' 8""",195,19,2004-07-26,"Saint-Cloud, France"
549,Johnny Davis,"6' 5""",195,68,1955-10-21,"Detroit, Michigan"
550,Taylor Funk,"6' 8""",230,26,1997-11-09,"Lancaster, Pennsylvania"
551,Kyshawn George,"6' 7""",209,20,2003-12-12,"Aigle, Switzerland"
552,Anthony Gill,"6' 8""",230,31,1992-10-17,"High Point, North Carolina"
553,Mouhamadou Gueye,"6' 9""",210,25,1998-07-06,"Staten Island, New York"
554,Richaun Holmes,"6' 10""",240,30,1993-10-15,"Lockport, Illinois"
555,Corey Kispert,"6' 7""",220,25,1999-03-03,"Edmonds, Washington"
556,Kyle Kuzma,"6' 10""",220,28,1995-07-24,"Flint, Michigan"
557,Jordan Poole,"6' 4""",194,25,1999-06-19,"Milwaukee, Wisconsin"
558,Alex Sarr,"7' 0""",224,19,2005-04-26,"Bordeaux, France"
559,Jonas Valanciunas,"7' 0""",270,32,1992-05-06,"Utena, Lithuania"
560,Tristan Vukcevic,"7' 0""",225,21,2003-03-11,"Siena, Italy"
0,Gordon Hayward,"6' 7""",225,34,1990-03-23,"Indianapolis, Indiana"
1,Evan Fournier,"6' 6""",205,31,1992-10-29,"Saint-Maurice, France"
2,Markelle Fultz,"6' 4""",209,26,1998-05-29,"Upper Marlboro, Maryland"
3,Davis Bertans,"6' 10""",225,31,1992-11-12,"Valmiera, Latvia"
4,Robert Covington,"6' 7""",209,33,1990-12-14,"Bellwood, Illinois"
5,Cedi Osman,"6' 7""",230,29,1995-04-08,"Ohrid, North Macedonia"
6,Jae Crowder,"6' 6""",235,33,1990-07-06,"Villa Rica, Georgia"
7,Wesley Matthews,"6' 5""",220,37,1986-10-14,"San Antonio, Texas"
8,JaVale McGee,"7' 0""",270,36,1988-01-19,"Flint, Michigan"
9,Reggie Bullock,"6' 6""",205,33,1991-03-16,"Baltimore, Maryland"
10,Justin Holiday,"6' 6""",180,35,1989-04-05,"Mission Hills, California"
11,Patrick Beverley,"6' 2""",180,35,1988-07-12,"Chicago, Illinois"
12,Jordan Nwora,"6' 8""",225,25,1998-09-09,"Buffalo, New York"
13,Boban Marjanovic,"7' 4""",290,35,1988-08-15,"Zajecar, Serbia"
14,Omer Yurtseven,"7' 0""",264,26,1998-06-19,"Istanbul, Turkey"
15,Udoka Azubuike,"6' 10""",280,24,1999-09-17,"Lagos, Nigeria"
16,Dennis Smith Jr.,"6' 2""",205,26,1997-11-25,"Fayetteville, North Carolina"
17,Yuta Watanabe,"6' 9""",215,29,1994-10-13,"Yokohama, Japan"
18,Damian Jones,"6' 11""",245,29,1995-06-30,"Baton Rouge, Louisiana"
19,Thanasis Antetokounmpo,"6' 7""",219,31,1992-07-18,"Athens, Greece"
20,Oshae Brissett,"6' 7""",210,26,1998-06-20,"Toronto, Ontario"
21,Chimezie Metu,"6' 9""",225,27,1997-03-22,"Los Angeles, California"
22,Aleksej Pokusevski,"7' 0""",210,22,2001-12-26,"Belgrade, Serbia"
23,Stanley Umude,"6' 6""",210,25,1999-04-12,"Portland, Oregon"
24,Admiral Schofield,"6' 5""",241,27,1997-03-30,"London, United Kingdom"
25,Luka Samanic,"6' 10""",227,24,2000-01-09,"Zagreb, Croatia"
26,Bismack Biyombo,"6' 8""",255,31,1992-08-28,"Lubumbashi, Democratic Republic of the Congo"
27,Danilo Gallinari,"6' 10""",233,35,1988-08-08,"Sant'Angelo Lodigiano, Italy"
28,Thaddeus Young,"6' 8""",235,36,1988-06-21,"New Orleans, Louisiana"
29,Mike Muscala,"6' 10""",240,33,1991-07-01,"St. Louis Park, Minnesota"
30,Trent Forrest,"6' 4""",210,26,1998-06-12,"Dothan, Alabama"
31,Isaiah Thomas,"5' 9""",185,35,1989-02-07,"Tacoma, Washington"
32,Usman Garuba,"6' 8""",220,22,2002-03-09,"Azuqueca de Henares, Spain"
33,Ashton Hagans,"6' 3""",190,24,1999-07-08,"Cartersville, Georgia"
34,Harry Giles,"6' 11""",240,26,1998-04-22,"Winston-Salem, North Carolina"
35,Dylan Windler,"6' 6""",196,27,1996-09-22,"Indianapolis, Indiana"
36,Ish Wainright,"6' 6""",250,29,1994-09-12,"Kansas City, Missouri"
37,Nico Mannion,"6' 2""",190,23,2001-03-14,"Siena, Italy"
38,Alondes Williams,"6' 4""",210,25,1999-06-19,"Milwaukee , Wisconsin"
39,Drew Peterson,"6' 9""",205,24,1999-11-09,"Libertyville, Illinois"
40,Xavier Moon,"6' 2""",165,29,1995-01-02,"Goodwater, Alabama"
41,Jerome Robinson,"6' 4""",190,27,1997-02-22,"Raleigh, North Carolina"
42,Daishen Nix,"6' 5""",224,22,2002-02-13,"Anchorage, Alaska"
43,Jordan Ford,"6' 1""",175,26,1998-05-26,"Citrus Heights, California"
44,TyTy Washington Jr.,"6' 3""",197,22,2001-11-15,"Phoenix, Arizona"
45,Olivier Sarr,"7' 0""",237,25,1999-02-20,"Niort, France"
46,Greg Brown III,"6' 7""",205,22,2001-09-01,"Dallas, Texas"
47,Saben Lee,"6' 2""",183,25,1999-06-23,"St. Louis, Missouri"
48,Seth Lundy,"6' 6""",220,24,2000-04-02,"Paulsboro, New Jersey"
49,Terquavion Smith,"6' 4""",165,21,2002-12-31,"Greenville, North Carolina"
